Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AcraData\AcraData.csproj,File,AcraData\AcraData.csproj,,,Microsoft.EntityFrameworkCore 5.0.6,,,,,"Microsoft.EntityFrameworkCore, 5.0.6  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AcraData\AcraData.csproj,File,AcraData\AcraData.csproj,,,Microsoft.EntityFrameworkCore.Design 5.0.6,,,,,"Microsoft.EntityFrameworkCore.Design, 5.0.6  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AcraData\AcraData.csproj,File,AcraData\AcraData.csproj,,,Microsoft.EntityFrameworkCore.Tools 5.0.6,,,,,"Microsoft.EntityFrameworkCore.Tools, 5.0.6  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AcraData\AcraData.csproj,File,AcraData\AcraData.csproj,,,Newtonsoft.Json 12.0.1,,,,,"Newtonsoft.Json, 12.0.1  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,AcraData\AcraData.csproj,File,AcraData\AcraData.csproj,,,Microsoft.EntityFrameworkCore 5.0.6,,,,,"Microsoft.EntityFrameworkCore, 5.0.6  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore, 10.0.3"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,AcraData\AcraData.csproj,File,AcraData\AcraData.csproj,,,Microsoft.EntityFrameworkCore.Design 5.0.6,,,,,"Microsoft.EntityFrameworkCore.Design, 5.0.6  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design, 10.0.3"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,AcraData\AcraData.csproj,File,AcraData\AcraData.csproj,,,Microsoft.EntityFrameworkCore.Tools 5.0.6,,,,,"Microsoft.EntityFrameworkCore.Tools, 5.0.6  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools, 10.0.3"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,AcraData\AcraData.csproj,File,AcraData\AcraData.csproj,,,Newtonsoft.Json 12.0.1,,,,,"Newtonsoft.Json, 12.0.1  Recommendation:  Newtonsoft.Json, 13.0.4"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,AcraData\AcraData.csproj,File,AcraData\AcraData.csproj,,,Pomelo.EntityFrameworkCore.MySql 5.0.0,,,,,"Pomelo.EntityFrameworkCore.MySql, 5.0.0  Recommendation:  Should be replaced. Remove Pomelo.EntityFrameworkCore.MySql, and replace with new package Pomelo.EntityFrameworkCore.MySql, 9.0.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AcraData\AcraData.csproj,File,AcraData\AcraData.csproj,,,,,,,,Current target framework: net10.0 Recommended target framework: net11.0
